-1,9,120
-2,11,122
-2,11,121
0,11,116
0,8,111
1,9,107
1,10,107
3,19,105
1,27,105
-2,31,100
-7,32,98
-13,27,110
-17,17,130
-19,5,141
-21,-4,153
-19,-14,154
-17,-21,145
-14,-24,130
-9,-23,118
-7,-16,105
-1,-12,89
4,-3,77
5,1,69
5,7,65
3,14,59
0,18,66
-6,16,74
-11,17,82
-17,16,94
-20,12,99
-22,7,103
-24,2,104
-21,1,106
-17,-6,110
-13,-9,107
-10,-11,106
-6,-13,101
-3,-14,98
-2,-14,96
-1,-13,94
-1,-7,92
-2,-3,88
-3,0,86
-4,1,83
-5,6,82
-4,9,78
-4,10,76
-3,11,73
-3,12,76
-3,12,76
-3,11,80
-3,12,83
-4,12,84
-5,11,87
-5,11,88
-7,11,91
-8,11,94
-9,10,96
-9,11,93
-9,11,95
-9,9,97
-10,8,99
-10,8,101
-10,7,102
-10,10,101
-11,9,102
-10,8,103
-10,10,104
-10,9,105
-9,8,105
-9,8,106
-8,9,103
-8,10,105
-8,9,110
-8,11,108
-8,7,107
-7,6,104
-7,7,103
-8,8,102
-8,8,103
-8,9,101
-5,14,101
-4,22,101
-4,22,88
-4,19,94
-6,7,106
-5,1,119
-4,-9,130
-2,-19,144
-1,-22,144
0,-23,142
0,-26,137
2,-26,130
3,-22,120
5,-21,109
7,-14,95
9,-7,83
10,-1,75
9,6,70
9,10,68
7,15,61
6,10,61
5,9,67
3,7,79
2,2,94
2,1,102
1,-1,104
3,-7,106
5,-16,112
6,-22,121
6,-21,123
6,-20,122
7,-20,117
6,-19,112
5,-15,106
3,-10,100
1,-4,92
0,1,85
-1,2,81
-1,5,76
-2,7,76
-2,6,70
-1,10,71
-1,8,70
0,9,72
0,9,77
0,6,78
0,6,79
1,5,85
0,5,89
0,5,91
0,6,94
0,6,94
0,4,98
0,4,99
0,3,102
0,1,102
0,1,100
-1,1,99
0,2,98
0,1,96
0,1,97
0,2,97
-1,2,100
-1,4,103
-2,4,104
-2,1,104
-2,3,102
-3,4,104
-4,3,106
-4,4,108
-5,4,105
-4,4,105
-2,4,102
-1,4,99
0,6,94
1,7,94
1,12,98
1,21,102
-2,29,100
-6,29,96
-11,22,101
-16,9,113
-20,-4,132
-23,-21,153
-26,-28,164
-25,-30,162
-24,-32,152
-20,-34,137
-14,-30,124
-10,-22,110
-5,-15,95
0,-11,82
2,-6,68
3,0,63
1,7,61
-2,7,66
-5,9,72
-10,9,81
-15,9,89
-19,7,96
-21,0,105
-22,-2,103
-20,-9,106
-18,-10,109
-15,-12,107
-12,-14,102
-8,-17,96
-6,-16,94
-4,-15,94
-4,-12,94
-4,-11,89
-5,-10,87
-7,-7,90
-7,-4,94
-7,-3,93
-7,-1,91
-6,-2,91
-5,-2,90
-4,0,92
-3,1,91
-1,0,88
-1,0,87
-1,1,88
-2,1,89
-3,-3,93
-4,0,94
-5,0,93
-6,-3,93
-7,-4,95
-8,-5,96
-8,-8,102
-9,-8,101
-10,-11,100
-10,-9,97
-11,-8,100
-11,-8,97
-11,-7,100
-10,-5,97
-10,-3,96
-9,0,94
-6,-4,96
-6,-4,101
-6,-4,98
-5,-2,98
-4,-4,95
-4,-8,96
