 -36,  -55, -56
 -40,  -58, -63
 -40,  -62, -66
 -39,  -65, -71
 -38,  -68, -70
 -37,  -76, -65
 -41,  -76, -57
 -38,  -82, -47
 -38,  -89, -45
 -39,  -90, -41
 -40,  -93, -44
 -43,  -96, -47
 -46,  -97, -54
 -52,  -92, -62
 -56,  -90, -63
 -60,  -90, -67
 -54,  -87, -68
 -53,  -91, -69
 -57,  -94, -66
 -57,  -99, -67
 -67,  -99, -63
 -70,  -99, -59
 -81,  -100, -56
 -89,  -105, -62
 -91,  -109, -63
 -91,  -107, -70
 -86,  -113, -75
 -83,  -119, -83
 -85,  -127, -80
 -74,  -136, -83
 -53,  -153, -83
 -61,  -154, -78
 -55,  -158, -70
 -57,  -154, -65
 -66,  -143, -64
 -81,  -130, -62
 -69,  -120, -64
 -85,  -112, -66
 -89,  -97, -60
 -93,  -82, -57
 -90,  -78, -54
 -87,  -81, -56
 -98,  -84, -44
 -100,  -85, -43
 -94,  -89, -41
 -100,  -88, -29
 -79,  -89, -31
 -87,  -88, -18
 -85,  -87, -26
 -67,  -82, -24
 -67,  -77, -30
 -95,  -69, -34
 -72,  -61, -29
 -67,  -52, -24
 -70,  -47, -17
 -68,  -41, -8
 -71,  -35, -1
 -70,  -32, 1
 -73,  -27, 5
 -70,  -20, 11
 -69,  -14, 10
 -66,  -8, 10
 -62,  -3, 10
 -60,  0, 15
 -58,  -1, 11
 -57,  0, 13
 -56,  0, 14
 -56,  2, 16
 -56,  4, 19
 -57,  5, 21
 -58,  5, 22
 -61,  5, 24
 -66,  2, 19
 -65,  0, 13
 -66,  -7, 8
 -69,  -9, 4
 -75,  -12, 2
 -79,  -15, 0
 -84,  -17, 0
 -87,  -20, 0
 -93,  -26, -1
 -97,  -30, 0
 -98,  -36, 0
 -100,  -43, -4
 -103,  -51, -6
 -103,  -57, -8
 -108,  -60, -12
 -111,  -64, -14
 -116,  -66, -12
 -117,  -68, -11
 -122,  -77, -10
 -126,  -82, -8
 -131,  -90, -6
 -138,  -99, -5
 -144,  -104, -6
 -149,  -107, -12
